# input: time
# iq_mode: freq
# time_shift: -82
# freq_shift: 0
# update_time: 25
# frames: 500
real,imag
-1.2847328e-07,-3.1643583e-07
-3.8433389e-07,2.1169716e-07
-8.6153841e-08,9.0857874e-09
-5.9002721e-07,-3.1166559e-07
-1.0389296e-07,-1.8028613e-07
-4.2467037e-07,-2.9678331e-07
-1.2994853e-06,3.9702404e-07
-7.1537468e-08,-2.161461e-07
-1.3809064e-06,-1.5793664e-06
-1.2664587e-06,2.2111469e-06
-1.5760867e-06,5.6646492e-07
-4.237271e-06,-3.882311e-07
1.2079993e-06,-1.4358695e-06
-5.9192513e-06,-3.637207e-06
-5.2391544e-06,9.1753744e-06
7.9684565e-07,-1.7993917e-06
2.4830313e-06,-2.2109961e-06
6.8967317e-06,-7.2962126e-06
-1.9436693e-05,-5.4912109e-06
-1.8802259e-05,1.5711633e-05
7.8430633e-08,3.7413858e-06
1.3823609e-05,7.5970496e-06
5.298793e-06,-1.9596627e-05
-3.7795949e-05,-2.533067e-05
-3.6833841e-05,4.1354753e-06
-9.4731915e-06,9.8367179e-06
7.6193392e-06,1.4600516e-05
6.2938927e-06,-2.9613762e-05
-2.8200833e-05,-3.3201115e-05
-3.6081215e-05,1.0960005e-05
8.1494764e-07,-2.0676273e-06
9.9851739e-07,-1.8969572e-05
3.4804138e-05,-1.9459898e-05
-3.8586162e-05,-2.4854256e-05
-6.4326027e-05,7.7051168e-05
6.9302738e-05,-3.0681674e-05
1.0481635e-05,-8.6868309e-06
8.1758245e-05,2.3722176e-05
-0.00012495446,-8.5599567e-05
-6.1686472e-05,-1.54069e-05
0.00010542369,-8.9043362e-05
1.1261346e-05,8.8522175e-05
4.1908122e-05,9.9776064e-05
-5.0210975e-06,-9.8444616e-05
0.0002501139,-0.00016600128
0.00014453422,-3.9917333e-05
-0.00017446129,-7.7809734e-06
-0.00028176506,0.00018359212
0.00025209871,-3.4530619e-05
0.000608446,4.4501257e-05
0.00029916608,-6.1264274e-05
-9.319198e-05,-0.00035156781
-0.00032953602,7.7746633e-05
0.00041294895,0.0002410548
0.00044641427,0.00046067195
0.00016500766,-0.00012980063
4.1077347e-05,-0.0003312075
-0.00054150141,0.00018526813
0.00076365509,0.00042665998
-3.8410559e-06,-0.00023826723
0.00040334175,-2.4789807e-05
-0.00065152369,7.8027636e-05
-0.0013277099,0.0010371771
0.00094354403,0.0019437084
0.0015897704,0.00029490643
0.00023292149,0.0013480032
-0.0015290494,0.00036599834
-0.00074995051,-0.0002324936
0.00081876043,0.0061632228
0.0061084472,0.0036327914
-0.0026744387,0.0068714135
0.0068410092,-0.00096877044
0.0035732202,-0.0021177172
0.0078599604,0.010476068
0.0034607152,0.0012758451
-0.008919029,0.0086911081
0.036219102,-0.0036156373
0.022362886,0.014225929
0.054007546,0.010728639
-0.085692834,-0.063974238
0.027779039,-0.09533495
0.040034775,-0.0068214121
